Schema,SubSchema,SubSchema Type,Key Properties,Property Title,Description,Property Type,Format,Required,Options
ItemTypes,ItemType,object,Description,Description,Description of the item type,string,textarea,False,
ItemTypes,ItemType,object,DangerousGoods,Dangerous Goods,Whether this type can contain dangerous goods,boolean,checkbox,False,
ItemTypes,ItemType,object,TemperatureSensitive,Temperature Sensitive,Whether this type requires temperature control,boolean,checkbox,False,
ItemTypes,ItemType,object,SpecialHandling,Special Handling,Special handling requirements,string,textarea,False,
ItemTypes,ItemType,object,Active,Active,Whether this item type is active,boolean,checkbox,True,
ItemTypes,ItemType,object,Notes,Notes,Additional item type information,string,textarea,False,
ShipmentTypes,Type,object,TypeCode,Type Code,Unique identifier for shipment type,string,text,True,
ShipmentTypes,Type,object,TypeName,Type Name,Name of the shipment type,string,text,True,
ShipmentTypes,Type,object,Description,Description,Description of the shipment type,string,textarea,False,
ShipmentTypes,Type,object,TransitTime,Transit Time,Average transit time in days,number,integer,False,
ShipmentTypes,Type,object,CostMultiplier,Cost Multiplier,Cost multiplier compared to standard,number,decimal,False,
ShipmentTypes,Type,object,SpecialRequirements,Special Requirements,Special requirements for this type,string,textarea,False,
ShipmentTypes,Type,object,Active,Active,Whether this shipment type is active,boolean,checkbox,True,
ShipmentTypes,Type,object,Notes,Notes,Additional shipment type information,string,textarea,False,
PriorityLevels,Level,object,LevelCode,Level Code,Unique identifier for priority level,string,text,True,
PriorityLevels,Level,object,LevelName,Level Name,Name of the priority level,string,text,True,
PriorityLevels,Level,object,Description,Description,Description of the priority level,string,textarea,False,
PriorityLevels,Level,object,TransitTime,Transit Time,Expected transit time in days,number,integer,False,
PriorityLevels,Level,object,CostMultiplier,Cost Multiplier,Cost multiplier for this priority,number,decimal,False,
PriorityLevels,Level,object,ColorCode,Color Code,Color code for UI display,string,text,False,
PriorityLevels,Level,object,Active,Active,Whether this priority level is active,boolean,checkbox,True,
PriorityLevels,Level,object,Notes,Notes,Additional priority level information,string,textarea,False,
TransportModes,Mode,object,ModeCode,Mode Code,Unique identifier for transport mode,string,text,True,
TransportModes,Mode,object,ModeName,Mode Name,Name of the transport mode,string,text,True,
TransportModes,Mode,object,Description,Description,Description of the transport mode,string,textarea,False,
TransportModes,Mode,object,TransitTime,Transit Time,Average transit time in days,number,integer,False,
TransportModes,Mode,object,CostMultiplier,Cost Multiplier,Cost multiplier for this mode,number,decimal,False,
TransportModes,Mode,object,Restrictions,Restrictions,Any restrictions for this mode,string,textarea,False,
TransportModes,Mode,object,Active,Active,Whether this transport mode is active,boolean,checkbox,True,
TransportModes,Mode,object,Notes,Notes,Additional transport mode information,string,textarea,False,
DocumentTypes,Type,object,DocTypeCode,Document Type Code,Unique identifier for document type,string,text,True,
DocumentTypes,Type,object,DocTypeName,Document Type Name,Name of the document type,string,text,True,
DocumentTypes,Type,object,Category,Category,Category of the document,string,text,False,
DocumentTypes,Type,object,Required,Required,Whether this document is required,boolean,checkbox,False,
DocumentTypes,Type,object,ApplicableStates,Applicable States,States where this document is applicable,array,array,False,
DocumentTypes,Type,object,Description,Description,Description of the document type,string,textarea,False,
DocumentTypes,Type,object,Template,Template,Document template if available,file,file,False,
DocumentTypes,Type,object,Active,Active,Whether this document type is active,boolean,checkbox,True,
DocumentTypes,Type,object,Notes,Notes,Additional document type information,string,textarea,False,
Users,User,object,UserID,User ID,Unique identifier for the user,string,text,True,
Users,User,object,Username,Username,User's login username,string,text,True,
Users,User,object,FullName,Full Name,User's full name,string,text,True,
Users,User,object,Email,Email,User's email address,string,email,True,
Users,User,object,Phone,Phone Number,User's phone number,string,phone,False,
Users,User,object,Organization,Organization,User's organization,string,text,True,
Users,User,object,Role,Role,User's role in the system,enum,select,True,"[""Buyer"",""Seller"",""ProjectManager"",""Logistics"",""DataAnalyst"",""Regulatory"",""Admin""]"
Users,User,object,Department,Department,User's department,string,text,False,
Users,User,object,Active,Active,Whether the user account is active,boolean,checkbox,True,
Users,User,object,LastLogin,Last Login,Date of last login,date,datetime,False,
Users,User,object,Notes,Notes,Additional user information,string,textarea,False,
Facilities,Facility,object,FacilityCode,Facility Code,Unique identifier for the facility,string,text,True,
Facilities,Facility,object,FacilityName,Facility Name,Name of the facility,string,text,True,
Facilities,Facility,object,FacilityType,Facility Type,Type of facility,enum,select,True,"[""Warehouse"",""Distribution Center"",""Cargo Terminal"",""Customs Office"",""Transit Hub"",""Other""]"
Facilities,Facility,object,Country,Country,Country where facility is located,string,text,True,
Facilities,Facility,object,City,City,City where facility is located,string,text,True,
Facilities,Facility,object,Address,Address,Complete facility address,string,textarea,False,
Facilities,Facility,object,ContactPerson,Contact Person,Primary contact person,string,text,False,
Facilities,Facility,object,Phone,Phone Number,Contact phone number,string,phone,False,
Facilities,Facility,object,Email,Email,Contact email address,string,email,False,
Facilities,Facility,object,Active,Active,Whether the facility is currently active,boolean,checkbox,True,
Facilities,Facility,object,Notes,Notes,Additional facility information,string,textarea,False,
ValidationRules,Rule,object,RuleCode,Rule Code,Unique identifier for the validation rule,string,text,True,
ValidationRules,Rule,object,RuleName,Rule Name,Name of the validation rule,string,text,True,
ValidationRules,Rule,object,FieldPath,Field Path,Path to the field being validated,string,text,True,
ValidationRules,Rule,object,RuleType,Rule Type,Type of validation rule,enum,select,True,"[""Required"",""MinLength"",""MaxLength"",""Pattern"",""Range"",""Custom""]"
ValidationRules,Rule,object,RuleValue,Rule Value,Value for the validation rule,string,text,False,
ValidationRules,Rule,object,ErrorMessage,Error Message,Error message to display,string,textarea,True,
ValidationRules,Rule,object,ApplicableStates,Applicable States,States where this rule applies,array,array,False,
ValidationRules,Rule,object,Active,Active,Whether this validation rule is active,boolean,checkbox,True,
ValidationRules,Rule,object,Notes,Notes,Additional rule information,string,textarea,False
