section,tier,component,import_path,minimalistic_sample,key_props,advanced_features,enterprise_features,category,variants,patterns,dependencies,ai_guidance,optimization_notes
component,1,Menu,src/components/atoms/navigation/Menu,"import { Menu } from 'src/components';<br/><Menu items={[{label:'Home',href:'/'}]} activeItem=""home"" />","items,activeItem","orientation,variant","RBAC,dynamic_items",navigation,"horizontal|vertical|dropdown","primary_navigation","react_router","navigation_menu_system","RBAC_item_filtering"
component,1,Pagination,src/components/atoms/navigation/Pagination,"import { Pagination } from 'src/components';<br/><Pagination total={100} current={1} pageSize={10} />","total,current,pageSize","showSizeSelector,showInfo","server_side,performance",navigation,"numbered|infinite|load_more","data_navigation","none","large_dataset_navigation","performance_optimized_paging"
component,1,Tab,src/components/atoms/navigation/Tab,"import { Tab } from 'src/components';<br/><Tab.Group><Tab.List><Tab>Tab1</Tab></Tab.List></Tab.Group>",children,"defaultIndex,onChange","lazy_loading,route_sync",navigation,"horizontal|vertical","content_organization","react_router","tabbed_content_interface","lazy_content_loading"
component,2,SearchBox,src/components/molecules/data/SearchBox,"import { SearchBox } from 'src/components';<br/><SearchBox onSearch={handleSearch} placeholder=""Search..."" />","onSearch,placeholder","debounceMs,showClearButton","advanced_search,history",data,"simple|advanced","data_management,CRUD","none","search_functionality_component","debounced_input_optimization"
component,2,FilterPanel,src/components/molecules/data/FilterPanel,"import { FilterPanel } from 'src/components';<br/><FilterPanel filters={filterConfig} values={filters} onChange={setFilters} />","filters,values,onChange","collapsible,presets","saved_filters,sharing",data,"sidebar|dropdown|modal","data_management,CRUD","none","data_filtering_interface","preset_filter_support"
component,2,SortControl,src/components/molecules/data/SortControl,"import { SortControl } from 'src/components';<br/><SortControl options={sortOptions} value={sort} onChange={setSort} />","options,value,onChange","direction,multiple","custom_sorting,persistence",data,"dropdown|button_group","data_management,CRUD","none","data_sorting_control","multi_field_sorting"
component,2,BulkActions,src/components/molecules/data/BulkActions,"import { BulkActions } from 'src/components';<br/><BulkActions actions={[{label:'Delete',onClick:handleDelete}]} selectedItems={selected} />","actions,selectedItems","confirmation,loading","batch_processing,audit",data,"toolbar|dropdown","data_management,CRUD","none","batch_operation_interface","confirmation_safety_net"
component,2,AddressForm,src/components/molecules/forms/AddressForm,"import { AddressForm } from 'src/components';<br/><AddressForm value={address} onChange={setAddress} countries={['US','CA']} />","value,onChange","countries,validation,googleMaps","geocoding,validation,encryption",form_composition,"standard|international","user_data_collection","google_maps_api","structured_address_input","geographical_validation"
component,2,ContactForm,src/components/molecules/forms/ContactForm,"import { ContactForm } from 'src/components';<br/><ContactForm value={contact} onChange={setContact} showJobInfo={true} />","value,onChange","fields,validation","dynamic_fields,encryption",form_composition,"basic|extended","user_data_collection","validation_library","contact_information_capture","dynamic_field_configuration"
component,2,ApprovalForm,src/components/molecules/forms/ApprovalForm,"import { ApprovalForm } from 'src/components';<br/><ApprovalForm onApprove={handleApprove} onReject={handleReject} />","onApprove,onReject","approvalLevels,comments","workflow_integration,audit",form_composition,"single|multi_level","approval_workflow","workflow_engine","approval_process_interface","multi_stage_approval"
component,2,StatusCard,src/components/molecules/display/StatusCard,"import { StatusCard } from 'src/components';<br/><StatusCard title=""Order #123"" status=""active"" metadata={{customer: 'John'}} />","title,status","metadata,commerceState","real_time_updates,drill_down",display_composition,"summary|detailed","dashboard_pattern,status_display","none","status_information_card","commerce_state_integration"
component,2,MetricCard,src/components/molecules/display/MetricCard,"import { MetricCard } from 'src/components';<br/><MetricCard title=""Revenue"" value=""$100K"" change=""+12%"" trend=""up"" />","title,value","change,trend,period","forecasting,alerts,export",display_composition,"simple|trend|comparison","dashboard_pattern,analytics","charting_library","business_metric_display","trend_analysis_support"
component,2,SummaryPanel,src/components/molecules/display/SummaryPanel,"import { SummaryPanel } from 'src/components';<br/><SummaryPanel data={summaryData} title=""Overview"" collapsible={true} />","data,title","collapsible,actions","auto_refresh,export,drill_down",display_composition,"collapsible|fixed","dashboard_pattern,reporting","none","data_summary_interface","auto_refresh_capability"
component,2,ProgressTracker,src/components/molecules/display/ProgressTracker,"import { ProgressTracker } from 'src/components';<br/><ProgressTracker steps={[{title:'Step 1',completed:true}]} currentStep={1} />","steps,currentStep","orientation,showLabels","time_tracking,notifications",display_composition,"horizontal|vertical|circular","form_wizard,workflow","none","progress_visualization","step_completion_tracking"
component,3,EditableDataGrid,src/components/organisms/data/EditableDataGrid,"import { EditableDataGrid } from 'src/components';<br/><EditableDataGrid columns={columns} data={data} onDataChange={setData} editable={true} />","columns,data,onDataChange","editable,sortable,filterable,pagination,bulkActions","virtual_scrolling,export,real_time",data_grid,"readonly|editable|mixed","data_management,CRUD","virtualization_library","comprehensive_data_table","performance_optimized_large_datasets"
component,3,ComparisonTable,src/components/organisms/data/ComparisonTable,"import { ComparisonTable } from 'src/components';<br/><ComparisonTable items={[item1,item2]} compareFields={['name','price']} />","items,compareFields","highlightDifferences,allowRemove","version_compare,export,analysis",data_grid,"side_by_side|stacked","data_analysis,comparison","diff_library","data_comparison_interface","difference_highlighting"
component,3,PivotTable,src/components/organisms/data/PivotTable,"import { PivotTable } from 'src/components';<br/><PivotTable data={salesData} pivotConfig={{rows:['region'],cols:['quarter']}} />","data,pivotConfig","aggregations,filters","drill_down,export,caching",data_grid,"pivot|cross_tab","data_analysis,reporting","pivot_engine","analytical_data_view","aggregation_calculation_engine"
component,3,ApprovalWorkflow,src/components/organisms/workflow/ApprovalWorkflow,"import { ApprovalWorkflow } from 'src/components';<br/><ApprovalWorkflow workflowId=""po-approval"" currentState=""pending"" />","workflowId,currentState","approvalLevels,onStateChange","multi_stage,notifications,audit",workflow,"linear|parallel|conditional","approval_workflow,business_process","workflow_engine","business_process_management","state_machine_driven"
component,3,StateTransition,src/components/organisms/workflow/StateTransition,"import { StateTransition } from 'src/components';<br/><StateTransition currentState=""pending"" allowedTransitions={['approve','reject']} />","currentState,allowedTransitions","onTransition,validation","rule_engine,audit,rollback",workflow,"simple|complex|conditional","approval_workflow,business_process","state_machine","state_management_interface","rule_based_transitions"
component,3,WorkflowTracker,src/components/organisms/workflow/WorkflowTracker,"import { WorkflowTracker } from 'src/components';<br/><WorkflowTracker workflow={workflowData} currentStep={2} showHistory={true} />","workflow,currentStep","showHistory,interactive","analytics,reporting,alerts",workflow,"timeline|kanban|gantt","approval_workflow,business_process","workflow_engine","workflow_visualization","process_analytics"
component,3,SettingsManager,src/components/organisms/management/SettingsManager,"import { SettingsManager } from 'src/components';<br/><SettingsManager sections={settingsConfig} values={settings} onChange={setSettings} />","sections,values,onChange","validation,onSave","backup_restore,audit,encryption",management,"tabbed|accordion|wizard","settings_management,admin","validation_library","configuration_management_interface","hierarchical_settings_organization"
component,3,UserManager,src/components/organisms/management/UserManager,"import { UserManager } from 'src/components';<br/><UserManager users={userList} onUserChange={handleUserChange} />","users,onUserChange","roles,permissions","provisioning,audit,SSO",management,"list|grid|card","settings_management,admin","RBAC_system","user_administration_interface","role_permission_integration"
component,3,RoleManager,src/components/organisms/management/RoleManager,"import { RoleManager } from 'src/components';<br/><RoleManager roles={roleList} permissions={permissionList} onRoleChange={handleRoleChange} />","roles,permissions","onRoleChange,inheritance","dynamic_roles,audit,compliance",management,"tree|matrix|list","settings_management,admin","RBAC_system","role_permission_management","hierarchical_role_inheritance"
component,4,DashboardLayout,src/components/templates/DashboardLayout,"import { DashboardLayout } from 'src/components';<br/><DashboardLayout header={<Header />} sidebar={<Sidebar />}>{content}</DashboardLayout>","header,sidebar,children","metrics,quickActions","personalization,responsive,performance",layout_template,"fixed|fluid|responsive","dashboard_pattern","responsive_framework","complete_dashboard_structure","layout_performance_optimization"
component,4,FormLayout,src/components/templates/FormLayout,"import { FormLayout } from 'src/components';<br/><FormLayout title=""Create User"" steps={formSteps}>{formContent}</FormLayout>","title,children","steps,actions,validation","auto_save,progress,accessibility",layout_template,"single|multi_step|wizard","form_wizard,form_creation","validation_library","structured_form_container","form_state_management"
component,4,ListDetailLayout,src/components/templates/ListDetailLayout,"import { ListDetailLayout } from 'src/components';<br/><ListDetailLayout list={<ItemList />} detail={<ItemDetail />} />",children,"responsive,splitRatio","virtualization,caching,responsive",layout_template,"split|stacked|overlay","data_management,CRUD","responsive_framework","master_detail_interface","responsive_layout_adaptation"
setup,0,Dependencies,package.json,"npm install react@19.1.0 react-dom@19.1.0 @reduxjs/toolkit@2.8.2","react,react-dom,redux","state_management","enterprise_ready","none","framework_foundation","application_setup","none","core_framework_requirements","modern_react_ecosystem"
setup,0,UI_Dependencies,package.json,"npm install react-router-dom@7.7.0 tailwindcss@3.4.17 lucide-react@0.536.0","routing,styling,icons","navigation,theming,icons","design_system","none","UI_foundation","application_setup","none","UI_framework_stack","modern_design_system"
setup,0,Providers,src/App.tsx,"<Provider store={store}><ThemeProvider><BrowserRouter>{children}</BrowserRouter></ThemeProvider></Provider>","store,theme,routing","global_state,theming,navigation","enterprise_context","none","application_context","application_setup","redux+theme+router","required_app_initialization","context_provider_hierarchy"
pattern,0,CRUD_Operations,Multi-component,"<SearchBox /><FilterPanel /><EditableDataGrid /><Modal /><Button />","search,filter,display,edit,create","bulk_operations,validation","audit_trail,RBAC","data_management","5_component_pattern","data_operations","grid+search+filter","comprehensive_data_workflow","proven_data_management_pattern"
pattern,0,Dashboard_Pattern,Multi-component,"<DashboardLayout><MetricCard /><EditableDataGrid /></DashboardLayout>","layout,metrics,data_display","responsive,real_time","personalization,analytics","dashboard","3_component_trinity","executive_dashboard","layout+metrics+data","business_intelligence_interface","executive_summary_pattern"
pattern,0,Form_Wizard,Multi-component,"<FormLayout><ProgressTracker /><Input /><Button /></FormLayout>","layout,progress,inputs,navigation","validation,auto_save","audit_trail,state_persistence","form_creation","wizard_pattern","multi_step_forms","layout+progress+inputs","guided_form_completion","step_by_step_user_guidance"
pattern,0,Approval_Workflow,Multi-component,"<ApprovalForm /><StateTransition /><WorkflowTracker />","approval,state_management,tracking","multi_level,notifications","compliance,audit","workflow","3_component_workflow","business_process","approval+state+tracking","enterprise_approval_process","business_process_automation"
utility,0,cn_function,src/utils/utils.ts,"import { cn } from 'src/utils';<br/>cn('class1', 'class2', condition && 'class3')","className,merging,conditional","conflict_resolution","none","styling","conditional_classes","class_management","tailwind","utility_function_for_styling","tailwind_class_conflict_resolution"
utility,0,useToast,src/utils/hooks/useToast.ts,"import { useToast } from 'src/utils';<br/>const {showToast} = useToast();<br/>showToast({title:'Success'});","title,description,variant,duration","queue_management","audit_logging","feedback","hook_pattern","notifications","redux_store","user_feedback_system","notification_queue_management"
utility,0,useTheme,src/contexts/ThemeContext.tsx,"import { useTheme } from 'src/contexts';<br/>const {theme,toggleTheme} = useTheme();","theme,toggle","system_detection,persistence","user_preferences","theming","hook_pattern","theme_switching","theme_provider","theme_state_management","automatic_theme_detection"
enterprise,0,Commerce_States,src/types/commerce.ts,"initiation→agreement→execution→settlement→completion","state,transitions,permissions","workflow_integration","compliance,audit","workflow","state_machine_pattern","business_process","state_engine","enterprise_workflow_states","business_process_state_machine"
enterprise,0,RBAC_System,src/types/rbac.ts,"userRole + requiredPermissions + allowedActions","roles,permissions,actions","hierarchical_roles,inheritance","compliance,security","security","permission_pattern","access_control","RBAC_engine","enterprise_security_system","fine_grained_access_control"
enterprise,0,Audit_Trail,src/types/audit.ts,"auditTrail.enabled + logUserActions + trackChanges","logging,tracking,encryption","automatic_capture","compliance,security","compliance","audit_pattern","compliance_tracking","audit_engine","enterprise_compliance_system","automatic_audit_logging" 
